(* Library holdings (# of books in each library), *)
(* collected by Christian Ayotte.                 *)
(* Labels not available.                          *)


data -         54957
data -         11704
data -        188705
data -         10081
data -         35434
data -        245801
data -        103717
data -         67858
data -         39036
data -        275154
data -        154629
data -         47898
data -        190525
data -        105242
data -         17846
data -        108951
data -         50256
data -          8491
data -         57126
data -          8821
data -        112141
data -         57073
data -         49899
data -         67343
data -         68377
data -          9785
data -         18300
data -          9103
data -         14900
data -        106339
data -         49914
data -         11802
data -         12422
data -          6814
data -         16000
data -         15177
data -       2649693
data -         13747
data -         24682
data -         20414
data -         38431
data -         42185
data -         52699
data -         25726
data -         33094
data -         32400
data -         53022
data -         24419
data -         15467
data -        268769
data -         17042
data -         33212
data -         21936
data -         19999
data -         98736
data -         93735
data -         13560
data -        544883
data -        374808
data -        163374
data -       2127175
data -        196964
data -       1977768
data -        152483
data -        383160
data -        765155
data -       1180220
data -       2109636
data -         46225
data -         38704
data -         20650
data -        154658
data -        205290
data -        456233
data -        106674
data -         51391
data -        139875
data -         53631
data -       4215101
data -         18232
data -         84956
data -        103898
data -         90076
data -       2254918
data -        329783
data -        269346
data -        116111
data -         60149
data -        981948
data -         65104
data -        491763
data -        347472
data -        239881
data -        166814
data -         69064
data -        113292
data -        146344
data -         47339
data -         69292
data -        577793
data -        124294
data -        255631
data -        310155
data -        800974
data -         37729
data -        510377
data -         42098
data -        763519
data -         46303
data -        106570
data -         41214
data -        217002
data -        343205
data -        166245
data -         95892
data -       1981430
data -         23000
data -         95358
data -        146392
data -         38978
data -         69201
data -       1520031
data -        107897
data -        251225
data -        638913
data -         11291
data -        228857
data -         20982
data -        157544
data -         59932
data -        187243
data -         77637
data -         58670
data -        454480
data -         50675
data -        179225
data -        494290
data -        674404
data -         41155
data -        241541
data -        334263
data -        308636
data -        828747
data -        140975
data -        115007
data -        139184
data -        792744
data -        247516
data -        304337
data -         69550
data -        426194
data -       2255387
data -        271677
data -         54886
data -        689844
data -        201325
data -         65839
data -         51920
data -        202007
data -         53952
data -        141520
data -        209916
data -        106563
data -        137347
data -        193148
data -        327267
data -         93710
data -         64845
data -        563570
data -         96768
data -         85496
data -        369573
data -        199713
data -        113880
data -         85074
data -        324068
data -         96564
data -        233702
data -        152764
data -        298254
data -         94874
data -        118249
data -        182811
data -        111704
data -         34989
data -        168195
data -        171074
data -         79650
data -       3052053
data -         60743
data -          5964
data -         39367
data -          7631
data -         18455
data -         26554
data -         30334
data -         17955
data -         28651
data -          7758
data -         71264
data -          4947
data -          7847
data -         11031
data -          9604
data -         27016
data -         15456
data -          8552
data -          7155
data -         12089
data -         26584
data -         56679
data -          7634
data -         10203
data -        427008
data -         17386
data -          8099
data -          5493
data -          1685
data -          5377
data -         41184
data -         10805
data -         18900
data -         16293
data -         16627
data -         12549
data -         47031
data -        148096
data -         10800
data -          4841
data -         26898
data -         13677
data -          4553
data -         54437
data -         35185
data -         11189
data -          8291
data -         14073
data -        182589
data -         70868
data -          7722
data -         17528
data -         16459
data -         10413
data -         21485
data -          7948
data -         56015
data -         10478
data -          9147
data -         12842
data -         38498
data -         16791
data -         12716
data -          8539
data -          7285
data -         25736
data -        136613
data -         15216
data -          5129
data -         11127
data -         23186
data -         97321
data -         44423
data -          8542
data -         11536
data -         11227
data -         13708
data -          6075
data -          9072
data -         10498
data -         32928
data -         15977
data -          6838
data -         12854
data -          7081
data -          6074
data -         53234
data -          8682
data -         14978
data -          7651
data -         24692
data -          6662
data -          6499
data -          5605
data -         10622
data -         30037
data -         11185
data -          6960
data -         54946
data -         10532
data -         10880
data -         15074
data -         10090
data -          8580
data -          7103
data -         37068
data -         19201
data -         10781
data -         18753
data -          7916
data -         11317
data -          9097
data -         12339
data -         19673
data -         37751
data -         31690
data -          9336
data -         14038
data -         17892
data -         41963
data -          6203
data -         11727
data -         14987
data -          9349
data -          6321
data -         14554
data -         24926
data -         14843
data -         16245
data -         18938
data -         15120
data -         13005
data -         12217
data -         15343
data -          6228
data -          7758
data -         10213
data -         13051
data -         34118
data -        214862
data -         37779
data -          4670
data -         60610
data -         12996
data -        107913
data -        127996
data -         37910
data -         31556
data -          8350
data -         17330
data -         28909
data -          6926
data -         70329
data -         15052
data -         18209
data -          4811
data -         69877
data -         29062
data -         60110
data -         11237
data -          1373
data -         13838
data -          6711
data -          8038
data -          9691
data -         23567
data -         17326
data -          8594
data -          2358
data -         10895
data -         21337
data -         25386
data -         18208
data -         41411
data -         30273
data -         41535
data -          7272
data -         15547
data -         15008
data -          7688
data -         13334
data -         27023
data -          6349
data -          6774
data -         66639
data -         14655
data -         12462
data -          7672
data -          3475
data -          8121
data -          5645
data -         11305
data -          7346
data -         58115
data -          5926
data -          4058
data -         19145
data -         15263
data -          7964
data -          7587
data -         14189
data -          8627
data -         88555
data -          9837
data -          8478
data -          7300
data -          6348
data -         10447
data -          9687
data -         19921
data -        102779
data -         16372
data -         46945
data -          9176
data -         11727
data -          4513
data -        200737
data -          8237
data -          6673
data -         11945
data -         50001
data -          7920
data -         23348
data -         16542
data -          8094
data -         17365
data -         18879
data -          7880
data -          5922
data -          9681
data -          4916
data -         46053
data -         11126
data -          5795
data -         18320
data -          3761
data -         22160
data -          7489
data -          6938
data -         12136
data -          5421
data -          4880
data -         41517
data -         14430
data -          8220
data -          5064
data -         15988
data -          8154
data -          6455
data -         13944
data -         15430
data -          7449
data -         11289
data -         74268
data -          9260
data -          6577
data -          6880
data -          9852
data -         20366
data -         24452
data -          5143
data -          6787
data -         18124
data -          7030
data -         18870
data -         30269
data -          4875
data -          8101
data -          9884
data -         11887
data -          5251
data -          5686
data -          6376
data -         14720
data -         21431
data -         36634
data -         10996
data -          9696
data -         10120
data -         50744
data -          5257
data -          7873
data -         22078
data -         10101
data -         27888
data -          4555
data -         13292
data -          4066
data -          4984
data -         18622
data -          6915
data -          5858
data -          4668
data -          6082
data -          7942
data -         35985
data -         10242
data -         12023
data -          8930
data -         23359
data -         20599
data -         10442
data -          8627
data -          5691
data -          6100
data -          6050
data -         12504
data -         26134
data -          8122
data -         11238
data -         16846
data -         14427
data -         19539
data -         69399
data -        105002
data -          7935
data -         23246
data -         10560
data -         13084
data -        184861
data -         11083
data -         23268
data -         42005
data -         11153
data -         25409
data -         11274
data -         52052
data -         14794
data -         25571
data -         16677
data -          7214
data -          9406
data -         13798
data -         16815
data -         16284
data -         17667
data -         12636
data -         13148
data -          8342
data -         10698
data -         21871
data -        131563
data -        253150
data -        105618
data -          6001
data -         23712
data -         33958
data -         12222
data -         13420
data -         17408
data -         10080
data -          7024
data -          9472
data -         25524
data -         12495
data -          8499
data -         11624
data -         25529
data -         20717
data -         13995
data -        265063
data -         12012
data -          2411
data -         12299
data -          5909
data -         36558
data -         13294
data -         33068
data -         22062
data -          6347
data -         10480
data -         32066
data -          5676
data -         12765
data -         12592
data -          7980
data -          6310
data -          5860
data -         46802
data -          8015
data -          7826
data -         16709
data -         25081
data -         19481
data -          8014
data -         10137
data -         32848
data -          9290
data -          6708
data -         12999
data -         59507
data -          6655
data -          8953
data -         25968
data -         10677
data -         12056
data -          6305
data -          9246
data -         10795
data -         20911
data -         43174
data -         26083
data -         13640
data -         14455
data -          6827
data -          7006
data -          6938
data -         46098
data -          7888
data -         11423
data -          7930
data -         21926
data -         24780
data -          3660
data -          9360
data -         52795
